hsa	Homo sapiens
ptr	Pan troglodytes
ggo	Gorilla gorilla
ppy	Pongo pygmaeus
mml	Macaca mulatta
cja	Callithrix jacchus
tsy	Tarsius syrichta
mmr	Microcebus murinus
oga	Otolemur garnettii
tbe	Tupaia belangeri
cpo	Cavia porcellus
dor	Dipodomys ordii
mmu	Mus musculus
rno	Rattus norvegicus
str	Ictidomys tridecemlineatus
opr	Ochotona princeps
ocu	Oryctolagus cuniculus
bta	Bos taurus
ttr	Tursiops truncatus
vpa	Vicugna pacos
ssc	Sus scrofa
cfa	Canis lupus familiaris
fca	Felis catus
eca	Equus caballus
mlu	Myotis lucifugus
pva	Pteropus vampyrus
eeu	Erinaceus europaeus
sar	Sorex araneus
cho	Choloepus hoffmanni
ete	Echinops telfairi
laf	Loxodonta africana
pca	Procavia capensis
meu	Macropus eugenii
mdo	Monodelphis domestica
oan	Ornithorhynchus anatinus
gga	Gallus gallus
mga	Meleagris gallopavo
tgu	Taeniopygia guttata
aca	Anolis carolinensis
xtr	Xenopus tropicalis
dre	Danio rerio
gac	Gasterosteus aculeatus
ola	Oryzias latipes
tru	Takifugu rubripes
tni	Tetraodon nigroviridis
cin	Ciona intestinalis
csa	Ciona savignyi
dme	Drosophila melanogaster
cel	Caenorhabditis elegans
